"Index","Year","Age","Name","Movie"
"1","1928","20","Janet Gaynor","Seventh Heaven Street Angel and Sunrise: A Song of Two Humans"
"2","1929","35","Mary Pickford","Coquette"
"3","1930","26","Norma Shearer","The Divorcee"
"4","1931","61","Marie Dressler","Min and Bill"
"5","1932","30","Helen Hayes","The Sin of Madelon Claudet"
"6","1933","24","Katharine Hepburn","Morning Glory"
"7","1934","29","Claudette Colbert","It Happened One Night"
"8","1935","25","Bette Davis","Dangerous"
"9","1936","25","Luise Rainer","The Great Ziegfeld"
"10","1937","26","Luise Rainer","The Good Earth"
"11","1938","28","Bette Davis","Jezebel"
"12","1939","24","Vivien Leigh","Gone with the Wind"
"13","1940","27","Ginger Rogers","Kitty Foyle"
"14","1941","22","Joan Fontaine","Suspicion"
"15","1942","36","Greer Garson","Mrs. Miniver"
"16","1943","23","Jennifer Jones","The Song of Bernadette"
"17","1944","27","Ingrid Bergman","Gaslight"
"18","1945","38","Joan Crawford","Mildred Pierce"
"19","1946","28","Olivia de Havilland","To Each His Own"
"20","1947","33","Loretta Young","The Farmer's Daughter"
"21","1948","30","Jane Wyman","Johnny Belinda"
"22","1949","31","Olivia de Havilland","The Heiress"
"23","1950","27","Judy Holliday","Born Yesterday"
"24","1951","36","Vivien Leigh","A Streetcar Named Desire"
"25","1952","52","Shirley Booth","Come Back Little Sheba"
"26","1953","22","Audrey Hepburn","Roman Holiday"
"27","1954","23","Grace Kelly","The Country Girl"
"28","1955","46","Anna Magnani","The Rose Tattoo"
"29","1956","39","Ingrid Bergman","Anastasia"
"30","1957","26","Joanne Woodward","The Three Faces of Eve"
"31","1958","39","Susan Hayward","I Want to Live!"
"32","1959","37","Simone Signoret","Room at the Top"
"33","1960","27","Elizabeth Taylor","Butterfield 8"
"34","1961","25","Sophia Loren","Two Women"
"35","1962","29","Anne Bancroft","The Miracle Worker"
"36","1963","29","Patricia Neal","Hud"
"37","1964","27","Julie Andrews","Mary Poppins"
"38","1965","23","Julie Christie","Darling"
"39","1966","33","Elizabeth Taylor","Who's Afraid of Virginia Woolf?"
"40","1967","58","Katharine Hepburn","Guess Who's Coming to Dinner"
"41","1968","59","Katharine Hepburn","The Lion in Winter"
"42","1969","24","Barbra Streisand","Funny Girl"
"43","1970","33","Maggie Smith","The Prime of Miss Jean Brodie"
"44","1971","32","Glenda Jackson","Women in Love"
"45","1972","32","Jane Fonda","Klute"
"46","1973","25","Liza Minnelli","Cabaret"
"47","1974","35","Glenda Jackson","A Touch of Class"
"48","1975","40","Ellen Burstyn","Alice Doesn't Live Here Anymore"
"49","1976","39","Louise Fletcher","One Flew Over the Cuckoo's Nest"
"50","1977","34","Faye Dunaway","Network"
"51","1978","30","Diane Keaton","Annie Hall"
"52","1979","39","Jane Fonda","Coming Home"
"53","1980","31","Sally Field","Norma Rae"
"54","1981","29","Sissy Spacek","Coal Miner's Daughter"
"55","1982","72","Katharine Hepburn","On Golden Pond"
"56","1983","31","Meryl Streep","Sophie's Choice"
"57","1984","47","Shirley MacLaine","Terms of Endearment"
"58","1985","36","Sally Field","Places in the Heart"
"59","1986","59","Geraldine Page","The Trip to Bountiful"
"60","1987","19","Marlee Matlin","Children of a Lesser God"
"61","1988","39","Cher","Moonstruck"
"62","1989","24","Jodie Foster","The Accused"
"63","1990","78","Jessica Tandy","Driving Miss Daisy"
"64","1991","40","Kathy Bates","Misery"
"65","1992","27","Jodie Foster","The Silence of the Lambs"
"66","1993","31","Emma Thompson","Howards End"
"67","1994","34","Holly Hunter","The Piano"
"68","1995","43","Jessica Lange","Blue Sky"
"69","1996","47","Susan Sarandon","Dead Man Walking"
"70","1997","37","Frances McDormand","Fargo"
"71","1998","32","Helen Hunt","As Good as It Gets"
"72","1999","24","Gwyneth Paltrow","Shakespeare in Love"
"73","2000","23","Hilary Swank","Boys Don't Cry"
"74","2001","31","Julia Roberts","Erin Brockovich"
"75","2002","33","Halle Berry","Monster's Ball"
"76","2003","33","Nicole Kidman","The Hours"
"77","2004","26","Charlize Theron","Monster"
"78","2005","28","Hilary Swank","Million Dollar Baby"
"79","2006","27","Reese Witherspoon","Walk the Line"
"80","2007","59","Helen Mirren","The Queen"
"81","2008","30","Marion Cotillard","La Vie en rose"
"82","2009","31","Kate Winslet","The Reader"
"83","2010","43","Sandra Bullock","The Blind Side"
"84","2011","27","Natalie Portman","Black Swan"
"85","2012","60","Meryl Streep","The Iron Lady"
"86","2013","20","Jennifer Lawrence","Silver Linings Playbook"
"87","2014","42","Cate Blanchett","Blue Jasmine"
"88","2015","52","Julianne Moore","Still Alice"
"89","2016","24","Brie Larson","Room"
"90","2017","27","Emma Stone","La La Land"
"91","2018","58","Frances McDormand","Three Billboards Outside Ebbing, Missouri"
"92","2019","43","Olivia Colman","The Favourite"
